epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,550.295,0.33468,0.27151,0.82001,0.98921,0.97613,0.99327,0.95341,0.25499,0.23472,0.79049,0.000316735,0.000316735,0.000316735
43,563.202,0.3453,0.2981,0.8267,0.99263,0.96495,0.9937,0.95708,0.27006,0.23553,0.79222,0.00030007,0.00030007,0.00030007
44,576.457,0.33856,0.27892,0.82816,0.9854,0.96662,0.99331,0.95493,0.25381,0.23921,0.79079,0.000283405,0.000283405,0.000283405
45,589.51,0.31366,0.26821,0.80398,0.99364,0.96659,0.99327,0.95217,0.25292,0.22639,0.79074,0.00026674,0.00026674,0.00026674
46,602.751,0.33886,0.28443,0.81785,0.99324,0.96181,0.99105,0.95285,0.25319,0.22737,0.79043,0.000250075,0.000250075,0.000250075
47,615.727,0.32847,0.26349,0.82531,0.98792,0.97559,0.99377,0.96028,0.23829,0.21606,0.78733,0.00023341,0.00023341,0.00023341
48,628.811,0.30951,0.25632,0.81311,0.9951,0.96922,0.99388,0.95485,0.25485,0.22359,0.78661,0.000216745,0.000216745,0.000216745
49,641.207,0.31584,0.26891,0.81825,0.99073,0.97613,0.99228,0.955,0.24583,0.22279,0.78546,0.00020008,0.00020008,0.00020008
50,654.068,0.30653,0.25691,0.81715,0.99672,0.97375,0.99346,0.95569,0.23231,0.20897,0.7839,0.000183415,0.000183415,0.000183415
51,671.417,0.27054,0.22842,0.77868,0.99755,0.97133,0.99377,0.96185,0.2278,0.21005,0.78319,0.00016675,0.00016675,0.00016675
52,684.162,0.264,0.22819,0.78822,0.99909,0.97136,0.99419,0.9626,0.22481,0.20667,0.78342,0.000150085,0.000150085,0.000150085
53,697.306,0.26323,0.2227,0.78321,0.99845,0.97613,0.99434,0.96539,0.22639,0.20353,0.78265,0.00013342,0.00013342,0.00013342
54,710.052,0.24442,0.21665,0.77694,1,0.97611,0.99419,0.96562,0.2188,0.19851,0.78116,0.000116755,0.000116755,0.000116755
55,722.5,0.24869,0.21192,0.78808,1,0.97333,0.99446,0.96605,0.20883,0.19319,0.77922,0.00010009,0.00010009,0.00010009
56,735.154,0.24752,0.21199,0.78608,0.99757,0.97799,0.99453,0.96531,0.21028,0.19421,0.77896,8.3425e-05,8.3425e-05,8.3425e-05
57,747.482,0.23354,0.20742,0.77596,1,0.97765,0.99458,0.96648,0.20551,0.18911,0.77827,6.676e-05,6.676e-05,6.676e-05
58,760.065,0.24858,0.19838,0.77809,1,0.97756,0.9946,0.96812,0.20244,0.18667,0.7775,5.0095e-05,5.0095e-05,5.0095e-05
59,772.395,0.23884,0.20057,0.78532,0.99955,0.97852,0.99445,0.96804,0.20048,0.1835,0.77685,3.343e-05,3.343e-05,3.343e-05
60,784.821,0.21903,0.1896,0.78302,0.99757,0.97795,0.99429,0.96875,0.19895,0.18089,0.77656,1.6765e-05,1.6765e-05,1.6765e-05
