epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.4571,1.13454,1.84348,1.35136,0.78384,0.50436,0.62058,0.42385,1.24647,1.69922,1.61395,0.0676415,0.000660377,0.000660377
2,176.588,1.34842,1.50534,1.48027,0.59095,0.55229,0.53945,0.31099,1.60467,2.55648,1.88205,0.0349682,0.00132041,0.00132041
3,259.976,1.41293,1.54977,1.52698,0.63391,0.51729,0.60395,0.39367,1.33204,4.16821,1.54824,0.00228824,0.00197378,0.00197378
4,341.559,1.36842,1.50631,1.47303,0.67584,0.41832,0.53436,0.34985,1.45755,2.81022,1.71409,0.00197,0.00197,0.00197
5,427.311,1.38708,1.45079,1.49804,0.81187,0.66492,0.74468,0.51274,1.2134,1.28945,1.3978,0.00196,0.00196,0.00196
6,515.186,1.20777,1.23025,1.382,0.8227,0.68694,0.77489,0.52734,1.14391,1.20098,1.34766,0.00195001,0.00195001,0.00195001
7,607.99,1.21426,1.20374,1.35573,0.76699,0.70023,0.71799,0.50976,1.1849,1.26069,1.40158,0.00194001,0.00194001,0.00194001
8,690.879,1.20533,1.20657,1.37044,0.82794,0.7184,0.7777,0.57374,0.99116,1.13913,1.23878,0.00193001,0.00193001,0.00193001
9,772.297,1.17564,1.18368,1.35489,0.83997,0.69389,0.78439,0.57651,1.02909,1.1571,1.25037,0.00192001,0.00192001,0.00192001
10,853.104,1.17823,1.16302,1.32623,0.86869,0.68216,0.75083,0.55549,1.09571,1.17061,1.32537,0.00191001,0.00191001,0.00191001
11,934.322,1.06441,1.04166,1.27622,0.9435,0.65927,0.79103,0.56757,1.07188,1.07039,1.31246,0.00190001,0.00190001,0.00190001
12,1018.16,1.13857,1.07239,1.311,0.91717,0.73763,0.8203,0.60402,0.99808,0.95322,1.2125,0.00189001,0.00189001,0.00189001
13,1099.7,1.07906,1.0057,1.29042,0.87006,0.77614,0.85593,0.67748,0.85165,0.78702,1.12965,0.00188001,0.00188001,0.00188001
14,1181.3,1.03366,0.96757,1.24667,0.88723,0.73231,0.79589,0.60853,1.0093,0.96102,1.21955,0.00187001,0.00187001,0.00187001
15,1262.69,1.06529,1.02274,1.27443,0.87539,0.60213,0.69971,0.53957,1.12377,1.41268,1.39009,0.00186001,0.00186001,0.00186001
16,1344.12,1.00598,0.93421,1.23312,0.91933,0.71916,0.80232,0.5929,0.97736,0.98667,1.22436,0.00185002,0.00185002,0.00185002
17,1427.57,1.03418,0.96996,1.25911,0.96302,0.78188,0.87586,0.67282,0.8539,0.81771,1.12279,0.00184002,0.00184002,0.00184002
18,1508.74,0.98718,0.92196,1.21664,0.83219,0.76758,0.82867,0.62384,0.9406,0.94142,1.17106,0.00183002,0.00183002,0.00183002
19,1589.72,0.9956,0.94861,1.21044,0.9084,0.81414,0.88264,0.70508,0.80616,0.72397,1.10087,0.00182002,0.00182002,0.00182002
20,1679.62,0.93484,0.85872,1.19745,0.88105,0.75886,0.81023,0.64514,0.88726,0.84758,1.18621,0.00181002,0.00181002,0.00181002
21,1771.84,0.91855,0.81805,1.16954,0.91344,0.78321,0.85236,0.67453,0.8063,0.80146,1.0965,0.00180002,0.00180002,0.00180002
22,1855.67,0.94497,0.84673,1.19349,0.94694,0.76354,0.84363,0.65844,0.84337,0.81368,1.15697,0.00179002,0.00179002,0.00179002
23,1937.06,0.95513,0.85999,1.22009,0.9673,0.7787,0.86485,0.67586,0.82986,0.77565,1.10195,0.00178002,0.00178002,0.00178002
24,2017.48,0.9049,0.86066,1.16005,0.94883,0.79949,0.89093,0.72762,0.73423,0.69882,1.05927,0.00177002,0.00177002,0.00177002
25,2098.57,0.87553,0.79528,1.15511,0.96699,0.81438,0.8877,0.74008,0.72264,0.62699,1.0468,0.00176002,0.00176002,0.00176002
26,2180.09,0.8743,0.74569,1.13471,0.93735,0.80108,0.87582,0.71648,0.76904,0.68172,1.0938,0.00175002,0.00175002,0.00175002
27,2261.81,0.88828,0.73569,1.14559,0.97128,0.81043,0.89804,0.72202,0.75923,0.65165,1.07989,0.00174003,0.00174003,0.00174003
28,2343.29,0.84919,0.74732,1.13582,0.88694,0.78455,0.8565,0.67596,0.8057,0.7726,1.13592,0.00173003,0.00173003,0.00173003
29,2424.53,0.81887,0.73344,1.11288,0.93959,0.79223,0.88264,0.72867,0.71563,0.65094,1.05771,0.00172003,0.00172003,0.00172003
30,2505.66,0.84597,0.76084,1.11866,0.93536,0.78955,0.86028,0.69509,0.76257,0.70908,1.08773,0.00171003,0.00171003,0.00171003
31,2586.83,0.81257,0.72489,1.1067,0.96935,0.81465,0.90015,0.7444,0.69344,0.59264,1.0328,0.00170003,0.00170003,0.00170003
32,2669.2,0.81509,0.72486,1.11627,0.94687,0.8454,0.9017,0.75129,0.69065,0.56642,1.01833,0.00169003,0.00169003,0.00169003
33,2750.46,0.79695,0.69142,1.09162,0.96555,0.86635,0.91888,0.77199,0.66211,0.51668,1.02199,0.00168003,0.00168003,0.00168003
34,2835.28,0.78284,0.67917,1.09726,0.93814,0.8547,0.90133,0.75382,0.67969,0.5853,1.03257,0.00167003,0.00167003,0.00167003
35,2916.97,0.78935,0.69734,1.09897,0.91885,0.85402,0.89752,0.72741,0.67518,0.6161,1.04938,0.00166003,0.00166003,0.00166003
36,2998.86,0.77634,0.68469,1.09171,0.94284,0.81236,0.9068,0.74429,0.69017,0.61772,1.05404,0.00165003,0.00165003,0.00165003
37,3080.59,0.77605,0.66633,1.09682,0.92886,0.86303,0.91303,0.76284,0.63713,0.55116,1.00845,0.00164004,0.00164004,0.00164004
38,3162.48,0.75043,0.65946,1.07565,0.96732,0.84612,0.91535,0.75101,0.63941,0.56195,0.99963,0.00163004,0.00163004,0.00163004
39,3244.52,0.74043,0.6609,1.07293,0.94099,0.83952,0.90868,0.76429,0.65767,0.55172,1.02741,0.00162004,0.00162004,0.00162004
40,3326.46,0.74064,0.63145,1.06729,0.94596,0.80755,0.9072,0.76554,0.64207,0.58472,1.00124,0.00161004,0.00161004,0.00161004
41,3407.05,0.75836,0.60647,1.08863,0.94511,0.82043,0.91511,0.75894,0.67519,0.59455,1.03332,0.00160004,0.00160004,0.00160004
42,3487.99,0.74069,0.63669,1.06662,0.96147,0.84449,0.91521,0.78414,0.60521,0.53852,0.9732,0.00159004,0.00159004,0.00159004
43,3569.92,0.70135,0.59846,1.04755,0.92258,0.87418,0.91667,0.76643,0.62671,0.51876,0.99549,0.00158004,0.00158004,0.00158004
44,3650.55,0.71651,0.61891,1.04191,0.94561,0.83136,0.90693,0.7708,0.63526,0.55191,0.99842,0.00157004,0.00157004,0.00157004
45,3731.31,0.72878,0.62256,1.05926,0.9142,0.82093,0.88451,0.72633,0.74795,0.65143,1.08574,0.00156004,0.00156004,0.00156004
46,3862.11,0.74931,0.62525,1.07036,0.91399,0.85895,0.91023,0.7569,0.65149,0.56489,1.00249,0.00155005,0.00155005,0.00155005
47,3944.15,0.69573,0.59885,1.02999,0.94929,0.83864,0.90973,0.76692,0.63523,0.57411,0.99445,0.00154005,0.00154005,0.00154005
48,4025.66,0.67916,0.58126,1.02714,0.96241,0.8489,0.92422,0.7898,0.61331,0.52132,0.98708,0.00153005,0.00153005,0.00153005
49,4107.78,0.68222,0.55885,1.04651,0.94121,0.79598,0.87484,0.7298,0.66623,0.65041,1.02541,0.00152005,0.00152005,0.00152005
