epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,894.032,0.44719,0.37174,0.84617,0.96863,0.88711,0.92667,0.85585,0.45151,0.42635,0.85393,0.000487551,0.000487551,0.000487551
43,915.15,0.45029,0.36051,0.85571,0.97078,0.90288,0.93518,0.85126,0.48757,0.40958,0.86059,0.000475053,0.000475053,0.000475053
44,937.858,0.44993,0.35882,0.84624,0.96163,0.88924,0.93361,0.84634,0.46453,0.40455,0.86323,0.000462554,0.000462554,0.000462554
45,958.84,0.44607,0.34995,0.84746,0.94421,0.90457,0.94059,0.85503,0.45568,0.44026,0.85238,0.000450055,0.000450055,0.000450055
46,979.89,0.43107,0.35061,0.84423,0.93696,0.9133,0.93863,0.85839,0.44994,0.41575,0.84857,0.000437556,0.000437556,0.000437556
47,1000.81,0.43489,0.34234,0.84566,0.96642,0.87463,0.93614,0.85303,0.45015,0.41808,0.86712,0.000425058,0.000425058,0.000425058
48,1021.86,0.42765,0.33801,0.84717,0.97902,0.88802,0.94144,0.85535,0.45974,0.38337,0.85839,0.000412559,0.000412559,0.000412559
49,1043.48,0.42908,0.33553,0.84172,0.95301,0.91737,0.94997,0.8668,0.43995,0.37653,0.84882,0.00040006,0.00040006,0.00040006
50,1063.91,0.43152,0.34064,0.85122,0.96715,0.89586,0.93427,0.85468,0.43412,0.41209,0.8438,0.000387561,0.000387561,0.000387561
51,1085.02,0.41887,0.32382,0.84004,0.98214,0.89613,0.93419,0.86992,0.42057,0.40824,0.83209,0.000375062,0.000375062,0.000375062
52,1105.73,0.42138,0.32517,0.84469,0.97431,0.91166,0.93729,0.87206,0.43009,0.40426,0.84433,0.000362564,0.000362564,0.000362564
53,1126.55,0.40064,0.31334,0.8471,0.97,0.90725,0.94031,0.86436,0.43698,0.41168,0.85423,0.000350065,0.000350065,0.000350065
54,1147.08,0.40641,0.31542,0.83675,0.98567,0.89844,0.93654,0.85533,0.46291,0.39736,0.86612,0.000337566,0.000337566,0.000337566
55,1167.87,0.38812,0.3009,0.82772,0.98514,0.8996,0.93268,0.8625,0.42601,0.36003,0.848,0.000325067,0.000325067,0.000325067
56,1188.94,0.39534,0.30599,0.83456,0.97359,0.90086,0.93466,0.8648,0.41881,0.3914,0.8437,0.000312569,0.000312569,0.000312569
57,1209.92,0.37216,0.29391,0.81958,0.98182,0.8948,0.92679,0.85906,0.41464,0.39417,0.84492,0.00030007,0.00030007,0.00030007
58,1230.59,0.37806,0.29119,0.83331,0.96499,0.88358,0.92784,0.85776,0.41502,0.40923,0.84655,0.000287571,0.000287571,0.000287571
59,1251.47,0.38047,0.29722,0.81944,0.97834,0.89717,0.94486,0.87184,0.4197,0.39036,0.86567,0.000275073,0.000275073,0.000275073
60,1272.72,0.3667,0.29437,0.82423,0.98832,0.90258,0.94194,0.86919,0.41252,0.3481,0.86397,0.000262574,0.000262574,0.000262574
61,1293.72,0.37299,0.29756,0.8342,0.99313,0.89533,0.94091,0.8661,0.41504,0.35497,0.85557,0.000250075,0.000250075,0.000250075
62,1314.66,0.36488,0.28948,0.82154,0.99419,0.89899,0.9361,0.86215,0.43078,0.36887,0.8635,0.000237576,0.000237576,0.000237576
63,1335.02,0.38063,0.28774,0.83395,0.97447,0.91078,0.94387,0.87516,0.38812,0.35299,0.83732,0.000225077,0.000225077,0.000225077
64,1355.7,0.35242,0.2763,0.81511,0.99284,0.88848,0.94564,0.87653,0.38569,0.35649,0.8331,0.000212579,0.000212579,0.000212579
65,1376.18,0.35084,0.27517,0.82283,0.99508,0.8856,0.94107,0.87442,0.3856,0.34687,0.83865,0.00020008,0.00020008,0.00020008
66,1396.51,0.34444,0.26172,0.81865,0.99039,0.88858,0.9476,0.87515,0.39063,0.34284,0.84304,0.000187581,0.000187581,0.000187581
67,1416.86,0.3371,0.26557,0.80341,1,0.89546,0.94923,0.88874,0.37943,0.36046,0.83789,0.000175083,0.000175083,0.000175083
68,1437.15,0.33441,0.25636,0.82002,0.98491,0.90471,0.95109,0.8838,0.38319,0.36743,0.83407,0.000162584,0.000162584,0.000162584
69,1457.44,0.33405,0.25951,0.81535,0.99581,0.90517,0.94877,0.88617,0.38327,0.33636,0.83517,0.000150085,0.000150085,0.000150085
70,1477.59,0.31689,0.24495,0.81287,0.99681,0.89537,0.94532,0.88901,0.36452,0.34041,0.82972,0.000137586,0.000137586,0.000137586
71,1502.23,0.29719,0.23028,0.79575,0.99561,0.90324,0.94693,0.88763,0.37169,0.33637,0.83745,0.000125087,0.000125087,0.000125087
72,1522.33,0.28891,0.22587,0.79225,0.99144,0.90876,0.94646,0.88539,0.37267,0.3294,0.83864,0.000112589,0.000112589,0.000112589
73,1542.37,0.29567,0.22163,0.80505,0.99282,0.90716,0.94696,0.88908,0.36069,0.32451,0.83349,0.00010009,0.00010009,0.00010009
74,1562.72,0.27824,0.21456,0.79734,0.97397,0.91543,0.94676,0.89469,0.3475,0.31902,0.82468,8.75913e-05,8.75913e-05,8.75913e-05
75,1583.26,0.28277,0.2193,0.78871,0.99521,0.89737,0.94643,0.88821,0.36114,0.31709,0.83407,7.50925e-05,7.50925e-05,7.50925e-05
76,1603.32,0.28114,0.21466,0.79087,0.97023,0.9229,0.94599,0.88876,0.35705,0.30757,0.82949,6.25938e-05,6.25938e-05,6.25938e-05
77,1623.56,0.2677,0.20833,0.78669,0.99365,0.90293,0.94548,0.89125,0.35217,0.31591,0.82691,5.0095e-05,5.0095e-05,5.0095e-05
78,1644.09,0.27482,0.20978,0.79939,0.99532,0.89743,0.94548,0.89305,0.34121,0.30474,0.82346,3.75962e-05,3.75962e-05,3.75962e-05
79,1664.59,0.27227,0.2088,0.79488,0.99568,0.89696,0.94657,0.89521,0.33867,0.30609,0.82232,2.50975e-05,2.50975e-05,2.50975e-05
80,1684.91,0.26533,0.20426,0.79081,0.99572,0.89679,0.94733,0.89616,0.33892,0.29823,0.82244,1.25987e-05,1.25987e-05,1.25987e-05
