epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,526.024,0.4346,0.34189,0.84127,0.99108,0.95933,0.98428,0.91909,0.36349,0.29704,0.8038,0.000316735,0.000316735,0.000316735
43,539.446,0.446,0.34345,0.85049,0.99102,0.96172,0.98491,0.92269,0.34625,0.28893,0.79566,0.00030007,0.00030007,0.00030007
44,552.676,0.40373,0.32988,0.83423,0.99263,0.96601,0.98646,0.92792,0.34853,0.2791,0.79352,0.000283405,0.000283405,0.000283405
45,565.667,0.42679,0.34785,0.84369,0.99267,0.97255,0.98725,0.93206,0.34549,0.27906,0.79384,0.00026674,0.00026674,0.00026674
46,578.584,0.40551,0.32453,0.82691,0.98795,0.9805,0.98652,0.93505,0.31773,0.26806,0.78764,0.000250075,0.000250075,0.000250075
47,591.583,0.39771,0.31105,0.82921,0.99893,0.96172,0.98651,0.93506,0.31906,0.26095,0.78836,0.00023341,0.00023341,0.00023341
48,604.539,0.39472,0.30039,0.81968,0.99755,0.97236,0.98577,0.93534,0.31215,0.26372,0.78625,0.000216745,0.000216745,0.000216745
49,617.672,0.38351,0.29804,0.82915,1,0.96834,0.98562,0.93801,0.30339,0.26033,0.786,0.00020008,0.00020008,0.00020008
50,630.765,0.38613,0.30805,0.83187,0.99783,0.96651,0.98622,0.94445,0.29562,0.24737,0.78432,0.000183415,0.000183415,0.000183415
51,648.814,0.36696,0.2828,0.80721,0.99915,0.97368,0.98688,0.94462,0.29368,0.24861,0.78454,0.00016675,0.00016675,0.00016675
52,661.876,0.35855,0.28199,0.8083,0.997,0.97608,0.98641,0.93783,0.29833,0.2504,0.78384,0.000150085,0.000150085,0.000150085
53,674.849,0.3482,0.26814,0.79867,0.99512,0.97556,0.98692,0.9458,0.29276,0.24613,0.78292,0.00013342,0.00013342,0.00013342
54,687.881,0.3382,0.26312,0.81055,0.99272,0.97805,0.98695,0.94926,0.27744,0.24292,0.78029,0.000116755,0.000116755,0.000116755
55,700.824,0.33168,0.26478,0.8089,0.99443,0.97847,0.9871,0.94604,0.27213,0.23671,0.77919,0.00010009,0.00010009,0.00010009
56,713.903,0.32774,0.25361,0.80783,1,0.97497,0.98694,0.95152,0.26834,0.23544,0.77749,8.3425e-05,8.3425e-05,8.3425e-05
57,726.653,0.31791,0.25625,0.80144,0.99512,0.97621,0.98695,0.95243,0.26085,0.23079,0.77604,6.676e-05,6.676e-05,6.676e-05
58,739.707,0.30109,0.24928,0.80074,0.99513,0.97785,0.98685,0.951,0.25974,0.23043,0.77608,5.0095e-05,5.0095e-05,5.0095e-05
59,752.542,0.31573,0.24236,0.80098,0.99563,0.97608,0.98698,0.9519,0.25815,0.22986,0.7756,3.343e-05,3.343e-05,3.343e-05
60,765.473,0.31826,0.24365,0.81019,0.99755,0.97321,0.98705,0.95351,0.25642,0.22779,0.77566,1.6765e-05,1.6765e-05,1.6765e-05
