epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6702,1.06133,2.58708,1.18641,0.80565,0.65452,0.75557,0.56591,0.96251,1.24339,1.15275,0.0676226,0.000327044,0.000327044
2,64.6661,0.99153,0.94656,1.11606,0.846,0.67943,0.80811,0.59357,0.95119,1.0699,1.15267,0.0346094,0.000647171,0.000647171
3,96.3604,0.97688,1.09601,1.11725,0.89747,0.77751,0.85825,0.64126,0.93032,0.90692,1.13036,0.0015829,0.000953966,0.000953966
4,121.417,1.01794,1.03506,1.1969,0.8789,0.81818,0.88719,0.66637,0.87192,0.7883,1.09949,0.000940006,0.000940006,0.000940006
5,139.507,0.95159,0.84805,1.16491,0.91615,0.80383,0.9044,0.67064,0.89975,0.75952,1.12058,0.000920008,0.000920008,0.000920008
6,165.195,0.97371,0.78511,1.16861,0.92962,0.88038,0.92001,0.69015,0.84028,0.65508,1.08827,0.00090001,0.00090001,0.00090001
